fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,mae_bp,inner_n
1,decision_close_2023_1,proxy_market|lambda=0.1|scaling=fixed,proxy_market,0.1,fixed,0.5041572184429327,0.5296344652376234,108.76205752736715,45
1,decision_close_2023_1,proxy_market|lambda=1|scaling=fixed,proxy_market,1.0,fixed,0.3381460556601799,0.6061045169892586,88.86618060152003,45
1,decision_close_2023_1,proxy_market_lsa|lambda=0.01|scaling=row_only,proxy_market_lsa,0.01,row_only,0.526029526029526,0.6324270415972462,136.33026932488858,45
1,decision_close_2023_1,proxy_market_lsa|lambda=0.1|scaling=row_only,proxy_market_lsa,0.1,row_only,0.4876190476190476,0.5283710565195001,108.55170906051096,45
1,decision_close_2023_1,proxy_market_lsa|lambda=1|scaling=row_only,proxy_market_lsa,1.0,row_only,0.3381460556601799,0.6033416990789503,88.99583295114009,45
1,decision_close_2023_1,proxy_market_lsa|lambda=0.01|scaling=column_standardized,proxy_market_lsa,0.01,column_standardized,0.5404040404040404,0.6339646691836699,135.5449670730246,45
1,decision_close_2023_1,proxy_market_lsa|lambda=0.1|scaling=column_standardized,proxy_market_lsa,0.1,column_standardized,0.47891156462585033,0.511233928069361,104.98592605005466,45
1,decision_close_2023_1,proxy_market_lsa|lambda=1|scaling=column_standardized,proxy_market_lsa,1.0,column_standardized,0.361247947454844,0.5710583946532426,89.1305349684725,45
1,decision_close_2023_1,history_transformer|lambda=0.01|scaling=fixed,history_transformer,0.01,fixed,0.43619047619047624,0.5964099523870681,87.88927197489802,45
1,decision_close_2023_1,history_transformer|lambda=0.1|scaling=fixed,history_transformer,0.1,fixed,0.41830065359477125,0.5758379755191286,87.54467053529122,45
1,decision_close_2023_1,history_transformer|lambda=1|scaling=fixed,history_transformer,1.0,fixed,0.41830065359477125,0.5596192002414633,93.84271557319492,45
2,decision_close_2023_2,history|lambda=0.01|scaling=fixed,history,0.01,fixed,0.4453567937438905,0.5673822149458043,105.16425259188773,46
2,decision_close_2023_2,history|lambda=0.1|scaling=fixed,history,0.1,fixed,0.39040529363110005,0.5481023349547839,89.24871325598892,46
2,decision_close_2023_2,history|lambda=1|scaling=fixed,history,1.0,fixed,0.22857142857142856,0.6409064027688448,80.50396436187214,46
2,decision_close_2023_2,history_tfidf|lambda=0.01|scaling=row_only,history_tfidf,0.01,row_only,0.4496216646754281,0.5432903797686589,97.31143250893273,46
2,decision_close_2023_2,history_tfidf|lambda=0.1|scaling=row_only,history_tfidf,0.1,row_only,0.39040529363110005,0.5371864917438961,88.15193215485135,46
2,decision_close_2023_2,history_tfidf|lambda=1|scaling=row_only,history_tfidf,1.0,row_only,0.22857142857142856,0.6356882790836618,80.62477156112834,46
2,decision_close_2023_2,history_tfidf|lambda=0.01|scaling=column_standardized,history_tfidf,0.01,column_standardized,0.4901960784313726,0.5744696684391047,76.99054134073808,46
2,decision_close_2023_2,history_tfidf|lambda=0.1|scaling=column_standardized,history_tfidf,0.1,column_standardized,0.4984917043740573,0.5401443097487757,76.94632126171429,46
2,decision_close_2023_2,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf,1.0,column_standardized,0.4984917043740573,0.49961769880004897,76.54167591809342,46
2,decision_close_2023_2,history_lsa|lambda=0.01|scaling=row_only,history_lsa,0.01,row_only,0.4599358974358974,0.5800367520170966,110.94396456041368,46
2,decision_close_2023_2,history_lsa|lambda=0.1|scaling=row_only,history_lsa,0.1,row_only,0.39040529363110005,0.5383812725294009,91.10905795550426,46
2,decision_close_2023_2,history_lsa|lambda=1|scaling=row_only,history_lsa,1.0,row_only,0.22857142857142856,0.6344261047267868,81.01370266734273,46
2,decision_close_2023_2,history_lsa|lambda=0.01|scaling=column_standardized,history_lsa,0.01,column_standardized,0.4601113172541744,0.63136882364459,111.41751373846014,46
2,decision_close_2023_2,history_lsa|lambda=0.1|scaling=column_standardized,history_lsa,0.1,column_standardized,0.45314900153609833,0.5304299756658996,103.62463856540847,46
2,decision_close_2023_2,history_lsa|lambda=1|scaling=column_standardized,history_lsa,1.0,column_standardized,0.2669717772692601,0.5840914152360505,84.43688821983348,46
2,decision_close_2023_2,history_qwen_all|lambda=0.01|scaling=fixed,history_qwen_all,0.01,fixed,0.4243943191311612,0.6409957347638283,113.73975418945801,46
2,decision_close_2023_2,history_qwen_all|lambda=0.1|scaling=fixed,history_qwen_all,0.1,fixed,0.4172839506172839,0.5743814925210268,93.29684871933648,46
2,decision_close_2023_2,history_qwen_all|lambda=1|scaling=fixed,history_qwen_all,1.0,fixed,0.22857142857142856,0.6365322975692126,81.28673314774909,46
2,decision_close_2023_2,history_qwen_inflation|lambda=0.01|scaling=fixed,history_qwen_inflation,0.01,fixed,0.4646464646464647,0.5739464047499154,110.78136022368325,46
2,decision_close_2023_2,history_qwen_inflation|lambda=0.1|scaling=fixed,history_qwen_inflation,0.1,fixed,0.4172839506172839,0.5511795610730453,93.52559227217631,46
2,decision_close_2023_2,history_qwen_inflation|lambda=1|scaling=fixed,history_qwen_inflation,1.0,fixed,0.22857142857142856,0.6367563511165374,82.38661541412442,46
2,decision_close_2023_2,history_qwen_demand|lambda=0.01|scaling=fixed,history_qwen_demand,0.01,fixed,0.4496216646754281,0.6204562214094623,108.57878060066177,46
2,decision_close_2023_2,history_qwen_demand|lambda=0.1|scaling=fixed,history_qwen_demand,0.1,fixed,0.4172839506172839,0.5615809204832204,91.70945598525036,46
