candidate,reference,macro_f1_difference,macro_f1_ci_low,macro_f1_ci_high,mae_bp_difference,mae_bp_ci_low,mae_bp_ci_high,bootstrap_replicates,block_length
history_tfidf,history,0.028568202348690286,0.0,0.06966771742353724,-3.21454269933443,-6.080736072745411,-0.6101678409682783,10000,4
history_lsa,history,-0.007407407407407418,-0.08374937230297176,0.05710210478078918,-2.143203252290988,-4.155478648406877,-0.15914870220877442,10000,4
history_transformer,history,0.031017085196651695,-0.0764761826099543,0.15636412347483133,14.953322602392177,-18.738481262438327,48.52557343105368,10000,4
history_qwen_all,history,-0.026288526288526293,-0.1247541492395334,0.07775353037618869,-4.74406517569588,-18.7117458762874,8.412567263752225,10000,4
history_qwen_inflation,history,-0.04749600098437301,-0.1351622000781665,0.050531341994888346,-0.588173685338063,-7.634181167464626,6.275367496482673,10000,4
history_qwen_demand,history,-0.007407407407407418,-0.08374937230297176,0.05710210478078918,-7.300772360891841,-20.58617183374765,5.347772249919082,10000,4
history_qwen_forward,history,0.023366013071895453,0.0,0.08333663175415093,2.0131663395639805,-2.684516271453778,6.846623027768171,10000,4
history_qwen_scores_only,history,0.015626922603666826,-0.0778039537348161,0.11017110791685096,-4.549809509042149,-18.345850997524884,7.95564434565115,10000,4
history_qwen_missing_only,history,-0.007407407407407418,-0.08374937230297176,0.05710210478078918,-0.9048451552392862,-4.023305928945544,2.011897122666878,10000,4
