candidate,macro_f1_difference,macro_f1_ci_low,macro_f1_ci_high,mae_bp_difference,mae_bp_ci_low,mae_bp_ci_high
history_tfidf,-0.07275132275132279,-0.21234252789363753,0.09049108174108147,-14.586895135553078,-42.025653800827506,9.048968530120746
history_lsa,-0.02068998539586775,-0.14621326956957925,0.12405829388285522,0.5890793193402146,-0.1791865781506864,1.4571574800453777
history_qwen_all,-0.08571428571428574,-0.1821026670358066,0.0,-0.14819052850614867,-7.193988061207708,6.659233534990313
history_qwen_inflation,-0.004121414647730415,-0.06329923548673555,0.04967442927173747,1.958319914485429,-1.7380477480644485,5.48304714209459
history_qwen_demand,-0.03031434796140675,-0.11495806138832708,0.04132553606237799,3.6698841454022215,-5.129178412926453,12.7035771073601
history_qwen_forward,-0.06953003423591653,-0.18811666677576977,0.03508771929824567,1.680316585596188,-0.9552295347853895,4.302352858889156
history_qwen_scores_only,-0.03031434796140675,-0.11495806138832708,0.04132553606237799,-0.6359479333195566,-7.2947259997943705,5.615689532296268
history_qwen_missing_only,0.0,0.0,0.0,0.2375405792802212,-1.9403847853207759,2.5507054527764215
proxy_market,-0.008570036201615117,-0.14502295396830325,0.1593333231338329,13.980681299229246,0.21738660870987636,28.058103374860522
proxy_market_lsa,0.10196078431372557,-0.007792551323860738,0.3326428122479517,13.622918813130468,-0.8979863056459436,28.266550030539253
history_transformer,-0.14380395433027005,-0.3247787590238571,0.08693621220550253,24.69696595544488,-14.354954154455235,64.20529347742851
