text_scaling,lambda,arm,correct,n,macro_f1,mae_bp,brier_multiclass
row_only,0.01,history,24,37,0.6412698412698412,146.87401334628518,0.48857561863537036
row_only,0.01,history_tfidf,26,37,0.6900584795321637,137.69744297286073,0.4791123011893297
row_only,0.01,history_lsa,26,37,0.6900584795321637,143.32705984976732,0.4834462472677289
row_only,0.1,history,23,37,0.6034858387799564,143.05303691803988,0.5234293625094999
row_only,0.1,history_tfidf,24,37,0.6320540411286467,139.83849421870545,0.5154125247355704
row_only,0.1,history_lsa,23,37,0.596078431372549,140.90983366574883,0.517876080301178
row_only,1.0,history,19,37,0.2828282828282828,139.77672330088092,0.6337207990505458
row_only,1.0,history_tfidf,19,37,0.2828282828282828,139.78100628339905,0.6310454758112195
row_only,1.0,history_lsa,19,37,0.2828282828282828,140.36580262022113,0.6316860590721016
column_standardized,0.01,history,24,37,0.6412698412698412,146.87401334628518,0.48857561863537036
column_standardized,0.01,history_tfidf,22,37,0.5842131724484666,123.5216030497113,0.7181359343939964
column_standardized,0.01,history_lsa,25,37,0.6576168929110106,158.93998722634717,0.5036610963357369
column_standardized,0.1,history,23,37,0.6034858387799564,143.05303691803988,0.5234293625094999
column_standardized,0.1,history_tfidf,22,37,0.5842131724484666,123.67496479818112,0.6604717924094249
column_standardized,0.1,history_lsa,21,37,0.5343915343915344,136.01293197839183,0.5396612802633606
column_standardized,1.0,history,19,37,0.2828282828282828,139.77672330088092,0.6337207990505458
column_standardized,1.0,history_tfidf,22,37,0.5842131724484666,124.30598729412891,0.5782623366139168
column_standardized,1.0,history_lsa,20,37,0.36507936507936506,143.63818237992086,0.62359649376152
